279513: done 228 games, mean reward -18.210, eps 0.32, speed 104.29 f/s, time till now 2612.171 s
280997: done 229 games, mean reward -18.220, eps 0.32, speed 102.89 f/s, time till now 2626.595 s
282409: done 230 games, mean reward -18.220, eps 0.32, speed 103.36 f/s, time till now 2640.255 s
283890: done 231 games, mean reward -18.230, eps 0.32, speed 102.97 f/s, time till now 2654.638 s
285552: done 232 games, mean reward -18.200, eps 0.32, speed 103.86 f/s, time till now 2670.641 s
287480: done 233 games, mean reward -18.130, eps 0.31, speed 102.59 f/s, time till now 2689.434 s
289084: done 234 games, mean reward -18.120, eps 0.31, speed 103.55 f/s, time till now 2704.925 s
291415: done 235 games, mean reward -18.070, eps 0.31, speed 103.21 f/s, time till now 2727.510 s
292809: done 236 games, mean reward -18.090, eps 0.31, speed 103.81 f/s, time till now 2740.939 s
294320: done 237 games, mean reward -18.110, eps 0.31, speed 103.04 f/s, time till now 2755.604 s
296218: done 238 games, mean reward -18.100, eps 0.30, speed 102.41 f/s, time till now 2774.138 s
297881: done 239 games, mean reward -18.100, eps 0.30, speed 103.72 f/s, time till now 2790.173 s
299532: done 240 games, mean reward -18.100, eps 0.30, speed 103.32 f/s, time till now 2806.152 s
301440: done 241 games, mean reward -18.110, eps 0.30, speed 103.54 f/s, time till now 2824.579 s
303159: done 242 games, mean reward -18.140, eps 0.30, speed 102.93 f/s, time till now 2841.279 s
304797: done 243 games, mean reward -18.160, eps 0.30, speed 102.43 f/s, time till now 2857.270 s
306562: done 244 games, mean reward -18.130, eps 0.29, speed 103.29 f/s, time till now 2874.358 s
308281: done 245 games, mean reward -18.090, eps 0.29, speed 102.38 f/s, time till now 2891.149 s
310246: done 246 games, mean reward -18.060, eps 0.29, speed 103.23 f/s, time till now 2910.184 s
311874: done 247 games, mean reward -18.050, eps 0.29, speed 101.42 f/s, time till now 2926.236 s
313709: done 248 games, mean reward -18.020, eps 0.29, speed 102.51 f/s, time till now 2944.137 s
315122: done 249 games, mean reward -18.000, eps 0.29, speed 101.31 f/s, time till now 2958.084 s
317114: done 250 games, mean reward -17.970, eps 0.28, speed 103.31 f/s, time till now 2977.367 s
Best mean reward updated -18.000 -> -17.970, model saved
318665: done 251 games, mean reward -17.980, eps 0.28, speed 102.07 f/s, time till now 2992.562 s
320424: done 252 games, mean reward -17.950, eps 0.28, speed 102.30 f/s, time till now 3009.756 s
Best mean reward updated -17.970 -> -17.950, model saved
321787: done 253 games, mean reward -17.950, eps 0.28, speed 102.46 f/s, time till now 3023.059 s
323744: done 254 games, mean reward -17.920, eps 0.28, speed 103.46 f/s, time till now 3041.974 s
Best mean reward updated -17.950 -> -17.920, model saved
325605: done 255 games, mean reward -17.900, eps 0.28, speed 102.41 f/s, time till now 3060.146 s
Best mean reward updated -17.920 -> -17.900, model saved
327194: done 256 games, mean reward -17.890, eps 0.28, speed 101.45 f/s, time till now 3075.809 s
Best mean reward updated -17.900 -> -17.890, model saved
329412: done 257 games, mean reward -17.820, eps 0.27, speed 103.06 f/s, time till now 3097.330 s
Best mean reward updated -17.890 -> -17.820, model saved
331089: done 258 games, mean reward -17.790, eps 0.27, speed 102.66 f/s, time till now 3113.666 s
Best mean reward updated -17.820 -> -17.790, model saved
333031: done 259 games, mean reward -17.790, eps 0.27, speed 101.64 f/s, time till now 3132.772 s
334556: done 260 games, mean reward -17.790, eps 0.27, speed 103.06 f/s, time till now 3147.569 s
336249: done 261 games, mean reward -17.800, eps 0.27, speed 101.29 f/s, time till now 3164.284 s
338176: done 262 games, mean reward -17.770, eps 0.27, speed 103.03 f/s, time till now 3182.988 s
Best mean reward updated -17.790 -> -17.770, model saved
339778: done 263 games, mean reward -17.790, eps 0.26, speed 101.27 f/s, time till now 3198.808 s
341692: done 264 games, mean reward -17.770, eps 0.26, speed 103.33 f/s, time till now 3217.332 s
343735: done 265 games, mean reward -17.730, eps 0.26, speed 102.69 f/s, time till now 3237.227 s
Best mean reward updated -17.770 -> -17.730, model saved
345971: done 266 games, mean reward -17.700, eps 0.26, speed 102.61 f/s, time till now 3259.019 s
Best mean reward updated -17.730 -> -17.700, model saved
347733: done 267 games, mean reward -17.680, eps 0.26, speed 103.10 f/s, time till now 3276.110 s
Best mean reward updated -17.700 -> -17.680, model saved
349248: done 268 games, mean reward -17.680, eps 0.26, speed 102.28 f/s, time till now 3290.923 s
350829: done 269 games, mean reward -17.650, eps 0.26, speed 102.61 f/s, time till now 3306.331 s
Best mean reward updated -17.680 -> -17.650, model saved
353263: done 270 games, mean reward -17.600, eps 0.25, speed 101.41 f/s, time till now 3330.332 s
Best mean reward updated -17.650 -> -17.600, model saved
354877: done 271 games, mean reward -17.620, eps 0.25, speed 102.97 f/s, time till now 3346.006 s
356786: done 272 games, mean reward -17.630, eps 0.25, speed 102.06 f/s, time till now 3364.710 s
359071: done 273 games, mean reward -17.570, eps 0.25, speed 102.33 f/s, time till now 3387.039 s
Best mean reward updated -17.600 -> -17.570, model saved
361036: done 274 games, mean reward -17.520, eps 0.25, speed 103.24 f/s, time till now 3406.073 s
Best mean reward updated -17.570 -> -17.520, model saved
362713: done 275 games, mean reward -17.540, eps 0.25, speed 102.41 f/s, time till now 3422.448 s
364688: done 276 games, mean reward -17.500, eps 0.25, speed 101.70 f/s, time till now 3441.867 s
Best mean reward updated -17.520 -> -17.500, model saved
366200: done 277 games, mean reward -17.480, eps 0.24, speed 102.42 f/s, time till now 3456.631 s
Best mean reward updated -17.500 -> -17.480, model saved
368006: done 278 games, mean reward -17.460, eps 0.24, speed 103.73 f/s, time till now 3474.041 s
Best mean reward updated -17.480 -> -17.460, model saved
370274: done 279 games, mean reward -17.420, eps 0.24, speed 102.27 f/s, time till now 3496.219 s
Best mean reward updated -17.460 -> -17.420, model saved
372068: done 280 games, mean reward -17.420, eps 0.24, speed 103.15 f/s, time till now 3513.611 s
373785: done 281 games, mean reward -17.380, eps 0.24, speed 101.56 f/s, time till now 3530.518 s
Best mean reward updated -17.420 -> -17.380, model saved
375457: done 282 games, mean reward -17.380, eps 0.24, speed 99.17 f/s, time till now 3547.378 s
377607: done 283 games, mean reward -17.360, eps 0.24, speed 97.65 f/s, time till now 3569.395 s
Best mean reward updated -17.380 -> -17.360, model saved
378987: done 284 games, mean reward -17.350, eps 0.24, speed 97.81 f/s, time till now 3583.504 s
Best mean reward updated -17.360 -> -17.350, model saved
380686: done 285 games, mean reward -17.340, eps 0.23, speed 100.62 f/s, time till now 3600.389 s
Best mean reward updated -17.350 -> -17.340, model saved
382650: done 286 games, mean reward -17.310, eps 0.23, speed 101.93 f/s, time till now 3619.658 s
Best mean reward updated -17.340 -> -17.310, model saved
384186: done 287 games, mean reward -17.260, eps 0.23, speed 102.22 f/s, time till now 3634.684 s
Best mean reward updated -17.310 -> -17.260, model saved
